Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude,Population State Level,male,female,Area,Inhabitants/km?
1945,Kroppen,Brandenburg,BB,Oberspreewald-Lausitz,51.3833,13.8,2484826,1228283,1256543,29654.36,84
1968,Schipkau,Brandenburg,BB,Oberspreewald-Lausitz,51.5456,13.9121,2484826,1228283,1256543,29654.36,84
1979,Lauchhammer,Brandenburg,BB,Oberspreewald-Lausitz,51.5,13.7667,2484826,1228283,1256543,29654.36,84
1983,Gro??chen,Brandenburg,BB,Oberspreewald-Lausitz,51.5833,14,2484826,1228283,1256543,29654.36,84
1987,Schwarzheide,Brandenburg,BB,Oberspreewald-Lausitz,51.4653,13.868,2484826,1228283,1256543,29654.36,84
1990,Ortrand,Brandenburg,BB,Oberspreewald-Lausitz,51.3767,13.745,2484826,1228283,1256543,29654.36,84
1993,Schipkau Schipkau,Brandenburg,BB,Oberspreewald-Lausitz,51.5101,13.8981,2484826,1228283,1256543,29654.36,84
1994,Schipkau Drochow,Brandenburg,BB,Oberspreewald-Lausitz,51.5693,13.9237,2484826,1228283,1256543,29654.36,84
1996,Hosena,Brandenburg,BB,Oberspreewald-Lausitz,51.4534,14.0298,2484826,1228283,1256543,29654.36,84
1998,Schipkau Klettwitz,Brandenburg,BB,Oberspreewald-Lausitz,51.5422,13.8994,2484826,1228283,1256543,29654.36,84
3042,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7612,14.3544,2484826,1228283,1256543,29654.36,84
3044,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7754,14.3374,2484826,1228283,1256543,29654.36,84
3046,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.756,14.3197,2484826,1228283,1256543,29654.36,84
3048,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7402,14.3198,2484826,1228283,1256543,29654.36,84
3050,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7324,14.3348,2484826,1228283,1256543,29654.36,84
3051,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7667,14.3333,2484826,1228283,1256543,29654.36,84
3052,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7667,14.3333,2484826,1228283,1256543,29654.36,84
3053,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7667,14.3333,2484826,1228283,1256543,29654.36,84
3054,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7667,14.3333,2484826,1228283,1256543,29654.36,84
3055,Cottbus,Brandenburg,BB,"Cottbus, Stadt",51.7667,14.3333,2484826,1228283,1256543,29654.36,84
3058,Kiekebusch,Brandenburg,BB,Spree-Nei?,51.7167,14.3667,2484826,1228283,1256543,29654.36,84
3096,Werben,Brandenburg,BB,Spree-Nei?,51.8167,14.1833,2484826,1228283,1256543,29654.36,84
3099,Kolkwitz,Brandenburg,BB,Spree-Nei?,51.75,14.25,2484826,1228283,1256543,29654.36,84
